Index,Shape,Description,Image URL
1,Circle,A round shape with all points on its boundary equidistant from its center.,http://mrmrsenglish.com/wp-content/uploads/2024/02/1-24.png
2,Square,A quadrilateral with all sides of equal length and all angles at 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/2-24.png
3,Triangle,A three-sided and three-angled polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/3-24.png
4,Rectangle,A quadrilateral with opposite sides of equal length and all angles at 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/4-24.png
5,Pentagon,A polygon with five sides and five angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/5-23.png
6,Hexagon,Six-sided and six-angled polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/6-23.png
7,Heptagon,A polygon with seven sides and seven angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/7-23.png
8,Octagon,Eight sides and eight angles make up a polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/8-24.png
9,Nonagon,A polygon with nine sides and nine angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/9-24.png
10,Decagon,A ten-sided and ten-angled polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/10-24.png
11,Dodecagon,A polygon with twelve sides and twelve angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/11-23.png
12,Oval,A rounded shape resembling an elongated circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/12-23.png
13,Rhombus,A quadrilateral with all sides of equal length but with opposite angles not necessarily equal.,http://mrmrsenglish.com/wp-content/uploads/2024/02/13-22.png
14,Parallelogram,A quadrilateral with equal length and parallel opposing sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/14-22.png
15,Trapezoid,A quadrilateral with a minimum of two parallel sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/15-22.png
16,Equilateral triangle,A triangle with equal lengths on each of its three sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/16-22.png
17,Isosceles triangle,A triangle having a minimum of two equally long sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/17-24.png
18,Scalene triangle,A triangle with all three sides of different lengths.,http://mrmrsenglish.com/wp-content/uploads/2024/02/18-24.png
19,Right triangle,A triangle with one angle measuring 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/19-24.png
20,Acute triangle,A triangle with all three angles measuring less than 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/20-24.png
21,Obtuse triangle,A triangle with one angle greater than 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/21-23.png
22,Kite,A quadrilateral with two pairs of adjacent sides of equal length.,http://mrmrsenglish.com/wp-content/uploads/2024/02/22-23.png
