Index,Shape,Description,Image URL,R,G,B,Admiration,Amusement,Anger,Annoyance,Approval,Caring,Confusion,Curiosity,Desire,Disappointment,Disapproval,Disgust,Embarassment,Excitement,Fear,Gratitude,Grief,Joy,Love,Nervousness,Optimism,Pride,Realization,Relief,Remorse,Sadness,Suprise,Neutral
1,Circle,A round shape with all points on its boundary equidistant from its center.,http://mrmrsenglish.com/wp-content/uploads/2024/02/1-24.png,220,44,68,252,211,4,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
2,Square,A quadrilateral with all sides of equal length and all angles at 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/2-24.png,4,188,100,16.666666666666664,0.0,0.0,16.666666666666664,16.666666666666664,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Triangle,A three-sided and three-angled polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/3-24.png,252,211,4,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
4,Rectangle,A quadrilateral with opposite sides of equal length and all angles at 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/4-24.png,19,180,236,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,14.285714285714285,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0
5,Pentagon,A polygon with five sides and five angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/5-23.png,225,4,35,0.0,0.0,28.57142857142857,0.0,14.285714285714285,14.285714285714285,28.57142857142857,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Hexagon,Six-sided and six-angled polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/6-23.png,139,204,179,0.0,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0
7,Heptagon,A polygon with seven sides and seven angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/7-23.png,252,195,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,0.0,33.33333333333333,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
8,Octagon,Eight sides and eight angles make up a polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/8-24.png,44,59,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0,28.57142857142857,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0
9,Nonagon,A polygon with nine sides and nine angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/9-24.png,99,195,171,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
10,Decagon,A ten-sided and ten-angled polygon.,http://mrmrsenglish.com/wp-content/uploads/2024/02/10-24.png,92,147,252,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,14.285714285714285,28.57142857142857,0.0,0.0,0.0,0.0
11,Dodecagon,A polygon with twelve sides and twelve angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/11-23.png,211,220,99,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0
12,Oval,A rounded shape resembling an elongated circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/12-23.png,51,212,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0
13,Rhombus,A quadrilateral with all sides of equal length but with opposite angles not necessarily equal.,http://mrmrsenglish.com/wp-content/uploads/2024/02/13-22.png,68,155,164,0.0,0.0,14.285714285714285,28.57142857142857,14.285714285714285,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0
14,Parallelogram,A quadrilateral with equal length and parallel opposing sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/14-22.png,231,92,105,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,28.57142857142857,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
15,Trapezoid,A quadrilateral with a minimum of two parallel sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/15-22.png,236,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Equilateral triangle,A triangle with equal lengths on each of its three sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/16-22.png,235,27,76,0.0,14.285714285714285,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Isosceles triangle,A triangle having a minimum of two equally long sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/17-24.png,115,196,203,20.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
18,Scalene triangle,A triangle with all three sides of different lengths.,http://mrmrsenglish.com/wp-content/uploads/2024/02/18-24.png,252,100,195,0.0,0.0,0.0,16.666666666666664,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Right triangle,A triangle with one angle measuring 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/19-24.png,4,188,100,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Acute triangle,A triangle with all three angles measuring less than 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/20-24.png,228,180,156,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
21,Obtuse triangle,A triangle with one angle greater than 90 degrees.,http://mrmrsenglish.com/wp-content/uploads/2024/02/21-23.png,252,196,66,0.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Kite,A quadrilateral with two pairs of adjacent sides of equal length.,http://mrmrsenglish.com/wp-content/uploads/2024/02/22-23.png,155,196,203,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,28.57142857142857,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0
23,Star,A shape formed by intersecting lines or curves radiating from a central point.,http://mrmrsenglish.com/wp-content/uploads/2024/02/23-23.png,244,171,27,14.285714285714285,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,14.285714285714285,0.0,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
24,Crescent,A curved shape resembling a segment of a circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/24-23.png,238,192,103,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0
